"No.","Time","Source","Destination","Protocol","Length","Info","src port","dest port","hard src addr","hard dest addr","UTC time","The RTT to ACK the segment was"
"52050","308.569628","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=360/26625, ttl=128 (reply in 52051)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:12.514320",""
"52051","308.577504","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=360/26625, ttl=254 (request in 52050)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:12.522196",""
"52055","309.590380","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=361/26881, ttl=128 (reply in 52056)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:13.535072",""
"52056","309.596125","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=361/26881, ttl=254 (request in 52055)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:13.540817",""
"52060","310.597439","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=362/27137, ttl=128 (reply in 52061)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:14.542131",""
"52061","310.601506","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=362/27137, ttl=254 (request in 52060)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:14.546198",""
"52063","311.620966","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=363/27393, ttl=128 (reply in 52064)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:15.565658",""
"52064","311.628386","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=363/27393, ttl=254 (request in 52063)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:15.573078",""
"52069","312.630694","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=364/27649, ttl=128 (reply in 52070)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:16.575386",""
"52070","312.634715","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=364/27649, ttl=254 (request in 52069)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:16.579407",""
"52072","313.656629","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=365/27905, ttl=128 (reply in 52073)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:17.601321",""
"52073","313.660590","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=365/27905, ttl=254 (request in 52072)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:17.605282",""
"52074","314.681190","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=366/28161, ttl=128 (reply in 52075)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:18.625882",""
"52075","314.685037","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=366/28161, ttl=254 (request in 52074)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:18.629729",""
"52078","315.704282","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=367/28417, ttl=128 (reply in 52079)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:19.648974",""
"52079","315.715356","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=367/28417, ttl=254 (request in 52078)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:19.660048",""
"52084","316.726226","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=368/28673, ttl=128 (reply in 52087)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:20.670918",""
"52087","317.140553","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=368/28673, ttl=254 (request in 52084)","","","RuckusWirele_51:cf:81","ChongqingFug_3f:bf:53","01:31:21.085245",""
"52095","317.752271","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=369/28929, ttl=128 (reply in 52096)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:21.696963",""
"52096","317.767657","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=369/28929, ttl=254 (request in 52095)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:21.712349",""
"52102","318.774007","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=370/29185, ttl=128 (reply in 52104)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:22.718699",""
"52104","318.792943","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=370/29185, ttl=254 (request in 52102)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:22.737635",""
"52114","319.796769","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=371/29441, ttl=128 (reply in 52115)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:23.741461",""
"52115","319.804407","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=371/29441, ttl=254 (request in 52114)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:23.749099",""
"52119","320.820293","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=372/29697, ttl=128 (reply in 52120)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:24.764985",""
"52120","320.826566","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=372/29697, ttl=254 (request in 52119)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:24.771258",""
"52125","321.837150","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=373/29953, ttl=128 (reply in 52126)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:25.781842",""
"52126","321.946079","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=373/29953, ttl=254 (request in 52125)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:25.890771",""
"52128","322.858816","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=374/30209, ttl=128 (reply in 52129)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:26.803508",""
"52129","322.867897","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=374/30209, ttl=254 (request in 52128)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:26.812589",""
